 , seconds taken, UCPS, PVEs, VS, % of VS Possible, Difference from Solution
,,,,,,
e1,,,,,,
naive,269,0,0,51649514,0.075159935,0
UCP,17,1932162,0,1648159,0.002398387,0
PVE,266,0,25964,52062625,0.075761091,0
UCP_PVE,17,1933212,139,1648356,0.002398674,0
max_active_clauses,6,659948,577,584146,8.50E-04,0
max_signed_active_clauses,7,841447,519,731640,0.001064676,0
weighted_unit,0,60299,96,69714,1.01E-04,0
log_weighted_unit,0,57060,148,68528,9.97E-05,0
,,,,,,
e2,,,,,,
naive,348,0,0,73070424,0.106331462,0
UCP,24,2780797,0,2282267,0.003321136,0
PVE,352,0,23223,73209134,0.106533311,0
UCP_PVE,24,2795646,388,2289310,0.003331385,0
max_active_clauses,5,526329,77,505542,7.36E-04,0
max_signed_active_clauses,7,770435,335,727991,0.001059366,0
weighted_unit,1,67513,115,79109,1.15E-04,0
log_weighted_unit,0,63969,142,75844,1.10E-04,0
,,,,,,
e3,,,,,,
naive,972,0,0,70969944,0.103274861,0
UCP,61,6377869,0,7021822,0.010218096,0
PVE,335,0,5459,71026918,0.103357769,0
UCP_PVE,64,6381118,173,7022713,0.010219392,0
max_active_clauses,15,1383868,432,1599028,0.002326892,0
max_signed_active_clauses,19,1775438,353,2077464,0.003023108,0
weighted_unit,1,84874,58,129011,1.88E-04,0
log_weighted_unit,1,86748,64,135683,1.97E-04,0
,,,,,,
er3,,,,,,
naive,242,0,0,47246254,0.068752348,4.99E-08
UCP,18,1974904,0,1999428,0.002909551,4.99E-08
PVE,242,0,1,47246254,0.068752348,4.99E-08
UCP_PVE,18,1974945,2,1999430,0.002909554,4.99E-08
max_active_clauses,7,788712,89,732233,0.001065539,4.99E-08
max_signed_active_clauses,8,890435,125,841271,0.00122421,4.99E-08
weighted_unit,4,374900,18,290142,4.22E-04,4.99E-08
log_weighted_unit,4,374148,18,290125,4.22E-04,4.99E-08
,,,,,,
r1,,,,,,
naive,908,0,0,184272667,0.268152023,-2.31E-07
UCP,39,3776607,0,4234137,0.00616148,-2.31E-07
PVE,907,0,0,184272667,0.268152023,-2.31E-07
UCP_PVE,39,3776607,0,4234137,0.00616148,-2.31E-07
max_active_clauses,12,1188664,0,1303024,0.001896149,-2.31E-07
max_signed_active_clauses,16,1603807,0,1840383,0.00267811,-2.31E-07
weighted_unit,1,112427,0,147098,2.14E-04,-2.31E-07
log_weighted_unit,1,106902,0,147175,2.14E-04,-2.31E-07
,,,,,,
re1,,,,,,
naive,586,0,0,126663922,0.184320266,-0.006141005
UCP,19,2084365,0,1977739,0.002877989,-0.006141005
PVE,592,0,5224,126453213,0.184013644,-0.006141005
UCP_PVE,19,2086410,262,1978371,0.002878909,-0.006141005
max_active_clauses,10,1173539,5075,952893,0.001386642,-0.006141005
max_signed_active_clauses,12,1365857,2979,1063011,0.001546885,-0.006141005
weighted_unit,6,648303,1544,436073,6.35E-04,-0.006141005
log_weighted_unit,6,646802,1530,435690,6.34E-04,-0.006141005
,,,,,,
re2,,,,,,
naive,492,0,0,91244849,0.132778731,-0.001036644
UCP,24,2585360,0,2497678,0.0036346,-0.001036644
PVE,492,0,5392,91207523,0.132724414,-0.001036644
UCP_PVE,24,2582669,1153,2497500,0.003634341,-0.001036644
max_active_clauses,11,1140680,3339,1059642,0.001541982,-0.001036644
max_signed_active_clauses,12,1267138,1485,1157089,0.001683786,-0.001036644
weighted_unit,6,596502,1888,444886,6.47E-04,-0.001036644
log_weighted_unit,6,608428,3924,453324,6.60E-04,-0.001036644
,,,,,,
re3,,,,,,
naive,282,0,0,54854061,0.079823165,-0.004453558
UCP,19,2206739,0,1757620,0.002557674,-0.004453558
PVE,285,0,66700,54861849,0.079834498,-0.004453558
UCP_PVE,19,2208811,420,1758961,0.002559625,-0.004453558
max_active_clauses,11,1227921,1176,967344,0.001407671,-0.004299929
max_signed_active_clauses,11,1290678,175,952107,0.001385498,-0.004453558
weighted_unit,7,791463,2408,507750,7.39E-04,-0.004422832
log_weighted_unit,7,790698,2466,507928,7.39E-04,-0.004320413
,,,,,,
rere2,,,,,,
naive,265,0,0,58443885,0.085047046,4.49E-08
UCP,19,2087593,0,2165192,0.003150769,4.49E-08
PVE,263,0,221581,57723102,0.083998169,4.49E-08
UCP_PVE,20,2087525,2867,2165494,0.003151209,4.49E-08
max_active_clauses,12,1252933,3934,1243058,0.001808887,4.49E-08
max_signed_active_clauses,13,1323327,3480,1329111,0.001934111,4.49E-08
weighted_unit,9,878841,4074,805574,0.001172264,4.49E-08
log_weighted_unit,9,876671,3841,803325,0.001168992,4.49E-08
,,,,,,
ns1,,,,,,
naive,199,0,0,37493753,0.054560592,2.24E-08
UCP,6,705667,0,573189,8.34E-04,2.24E-08
PVE,200,0,650,37494608,0.054561836,2.24E-08
UCP_PVE,6,709723,1633,573838,8.35E-04,2.24E-08
max_active_clauses,1,196137,659,163837,2.38E-04,2.24E-08
max_signed_active_clauses,2,243997,2512,210026,3.06E-04,2.24E-08
weighted_unit,1,112399,890,81355,1.18E-04,2.24E-08
log_weighted_unit,1,112729,1178,81728,1.19E-04,2.24E-08
,,,,,,
rere3,,,,,,
naive,205,0,0,46299242,0.067374264,-1.93E-08
UCP,1,168157,0,162478,2.36E-04,-1.93E-08
PVE,207,0,21958,46317091,0.067400238,-1.93E-08
UCP_PVE,1,166767,5411,156181,2.27E-04,-1.93E-08
max_active_clauses,1,143077,7332,150910,2.20E-04,-1.93E-08
max_signed_active_clauses,1,145944,3382,153675,2.24E-04,-1.93E-08
weighted_unit,1,100749,1267,102871,1.50E-04,-1.93E-08
log_weighted_unit,1,100664,1087,102603,1.49E-04,-1.93E-08
,,,,,,
rere1,,,,,,
naive,158,0,0,31238541,0.04545806,-3.65E-09
UCP,14,1738894,0,1206801,0.001756127,-3.65E-09
PVE,159,0,28804,31280401,0.045518974,-3.65E-09
UCP_PVE,14,1739446,827,1207525,0.00175718,-3.65E-09
max_active_clauses,11,1238701,13112,1185942,0.001725773,-3.65E-09
max_signed_active_clauses,11,1309133,32931,1250704,0.001820014,-3.65E-09
weighted_unit,8,880492,13113,773600,0.001125736,-3.65E-09
log_weighted_unit,8,877158,2403,770257,0.001120871,-3.65E-09
,,,,,,
,,,,,,
 ,average time ratio from naive,average split ratio with naive,,,,
naive,1,1,,,,
UCP,0.054680462,0.033073926,,,,
PVE,0.948194258,0.999848687,,,,
UCP_PVE,0.055252129,0.033078087,,,,
max_active_clauses,0.024790195,0.013913529,,,,
max_signed_active_clauses,0.027820323,0.015943703,,,,
weighted_unit,0.013607308,0.005975343,,,,
log_weighted_unit,0.013367844,0.005973491,,,,
